"SkillDir","RefFile","RefPath","RefSize","RefDesc","Status","SelfRef","PromptRef","PromptFiles","SiblingRef","SiblingFiles","CommonRef","CommonFiles","IsStale","MissingRefsSec"
"CommonSkills\通用-补充构建素材库","各池条目录入模板.md","CommonSkills\通用-补充构建素材库\references\各池条目录入模板.md","9611","各池条目录入模板","ok","True","False","","False","","True","通用-补充构建素材库","False","True"
"CommonSkills\通用-补充构建素材库","缺件诊断检查表.md","CommonSkills\通用-补充构建素材库\references\缺件诊断检查表.md","5580","缺件诊断检查表","ok","True","False","","False","","True","通用-补充构建素材库","False","True"
"CommonSkills\通用-补充构建素材库","搜索日志记录模板.md","CommonSkills\通用-补充构建素材库\references\搜索日志记录模板.md","2779","搜索日志记录模板","ok","True","False","","False","","True","通用-补充构建素材库","False","True"
"CommonSkills\通用-创建小说正文","场景串章与章级回报分配卡.md","CommonSkills\通用-创建小说正文\references\场景串章与章级回报分配卡.md","4084","场景串章与章级回报分配卡","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","第一人称转第三人称映射与首现关系卡.md","CommonSkills\通用-创建小说正文\references\第一人称转第三人称映射与首现关系卡.md","1952","第一人称转第三人称映射与首现关系卡","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","多视角章的切换句与切换段接口卡.md","CommonSkills\通用-创建小说正文\references\多视角章的切换句与切换段接口卡.md","5172","多视角章的切换句与切换段接口卡","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","多视角章的章首辨识锚点.md","CommonSkills\通用-创建小说正文\references\多视角章的章首辨识锚点.md","4409","多视角章的章首辨识锚点","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","黄金三章与首轮回报设计.md","CommonSkills\通用-创建小说正文\references\黄金三章与首轮回报设计.md","17341","黄金三章与首轮回报设计","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","拼章检查卡_开头中段章末与钩子链复核.md","CommonSkills\通用-创建小说正文\references\拼章检查卡_开头中段章末与钩子链复核.md","3277","拼章检查卡_开头中段章末与钩子链复核","dead","False","False","","False","","False","","False","False"
"CommonSkills\通用-创建小说正文","三阶段骨架扩写拼合_体裁与扩字补编.md","CommonSkills\通用-创建小说正文\references\三阶段骨架扩写拼合_体裁与扩字补编.md","5716","三阶段骨架扩写拼合_体裁与扩字补编","dead","False","False","","False","","False","","False","False"
"CommonSkills\通用-创建小说正文","视角切换章与多视角连续章规则.md","CommonSkills\通用-创建小说正文\references\视角切换章与多视角连续章规则.md","5148","视角切换章与多视角连续章规则","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","视角与叙述距离控制.md","CommonSkills\通用-创建小说正文\references\视角与叙述距离控制.md","3614","视角与叙述距离控制","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","写作启动工具与创意阻力处理.md","CommonSkills\通用-创建小说正文\references\写作启动工具与创意阻力处理.md","8219","写作启动工具与创意阻力处理","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","章节附属构件与后记规范.md","CommonSkills\通用-创建小说正文\references\章节附属构件与后记规范.md","10015","章节附属构件与后记规范","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","章节四拍执行与钩子轮换写作卡.md","CommonSkills\通用-创建小说正文\references\章节四拍执行与钩子轮换写作卡.md","1381","章节四拍执行与钩子轮换写作卡","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-创建小说正文","章节正文创作总流程与交付规范.md","CommonSkills\通用-创建小说正文\references\章节正文创作总流程与交付规范.md","37591","章节正文创作总流程与交付规范","ok","True","False","","False","","True","通用-创建小说正文","False","False"
"CommonSkills\通用-大纲审阅优化闭环","大纲审阅优化闭环总流程.md","CommonSkills\通用-大纲审阅优化闭环\references\大纲审阅优化闭环总流程.md","5661","大纲审阅优化闭环总流程（参考）","ok","True","False","","False","","True","通用-大纲审阅优化闭环","False","False"
"CommonSkills\通用-大纲审阅优化闭环","审阅报告复用与9点2门槛.md","CommonSkills\通用-大纲审阅优化闭环\references\审阅报告复用与9点2门槛.md","2544","审阅报告复用与 9.2 门槛","ok","True","False","","False","","True","通用-大纲审阅优化闭环","False","False"
"CommonSkills\通用-多平台输出编排","多平台输出门禁与相似度规则.md","CommonSkills\通用-多平台输出编排\references\多平台输出门禁与相似度规则.md","7763","多平台输出门禁与相似度规则","ok","True","False","","False","","True","通用-多平台输出编排","False","False"
"CommonSkills\通用-多平台输出编排","多平台输出摘要与日志规范.md","CommonSkills\通用-多平台输出编排\references\多平台输出摘要与日志规范.md","5351","多平台输出摘要与日志规范","ok","True","False","","False","","True","通用-多平台输出编排","False","False"
"CommonSkills\通用-多平台输出编排","多平台输出执行总流程与断点恢复.md","CommonSkills\通用-多平台输出编排\references\多平台输出执行总流程与断点恢复.md","10569","多平台输出执行总流程与断点恢复（参考）","ok","True","False","","False","","True","通用-多平台输出编排","False","False"
"CommonSkills\通用-多平台小说适配","多平台改写前推演清单.md","CommonSkills\通用-多平台小说适配\references\多平台改写前推演清单.md","1684","多平台改写前推演清单","ok","True","False","","False","","True","通用-多平台小说适配","False","True"
"CommonSkills\通用-多平台小说适配","平台差异矩阵.md","CommonSkills\通用-多平台小说适配\references\平台差异矩阵.md","4637","平台差异矩阵","ok","True","False","","False","","True","通用-多平台小说适配","False","True"
