"ScanCategory","FilePath","FileSize","RefCount","RefBySkills","Status"
"scripts","scripts\annotate_cache_layers.ps1","7756","0","","unreferenced"
"scripts","scripts\audit_crosref_deadfiles.ps1","9903","0","","unreferenced"
"scripts","scripts\audit_skill_structure.ps1","12431","0","","unreferenced"
"scripts","scripts\batch_insert_platform_rules.ps1","2501","0","","unreferenced"
"scripts","scripts\batch_platform_rules.ps1","4057","0","","unreferenced"
"scripts","scripts\bjh_body_server.mjs","4033","1","小说分发\分发-百度百家号\SKILL.md","referenced"
"scripts","scripts\chapter_similarity_check.ps1","9456","1","CommonSkills\通用-多平台输出编排\SKILL.md","referenced"
"scripts","scripts\check_internal_dup.ps1","1383","0","","unreferenced"
"scripts","scripts\check_no_cjk_except_marker.ps1","1652","3","CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md","referenced"
"scripts","scripts\cleanup_cn_sentence_inserts.ps1","3422","0","","unreferenced"
"scripts","scripts\cn_lexicon_profile_transform.ps1","8720","19","CommonSkills\通用-多平台小说适配\SKILL.md; CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-提纯多平台母稿\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\content_parts_server.mjs","6225","15","小说分发\分发-B站\SKILL.md; 小说分发\分发-GoodNovel\SKILL.md; 小说分发\分发-My Fiction\SKILL.md; 小说分发\分发-WebNovel\SKILL.md; 小说分发\分发-七猫小说\SKILL.md; 小说分发\分发-今日头条\SKILL.md; 小说分发\分发-小红书\SKILL.md; 小说分发\分发-微信订阅号\SKILL.md; 小说分发\分发-新浪微博\SKILL.md; 小说分发\分发-番茄小说\SKILL.md; 小说分发\分发-百度百家号\SKILL.md; 小说分发\分发-知乎小说\SKILL.md; 小说分发\分发-纵横中文网\SKILL.md; 小说分发\分发-豆瓣\SKILL.md; 小说分发\分发-起点中文网\SKILL.md","referenced"
"scripts","scripts\convert_paradigm.ps1","2243","0","","unreferenced"
"scripts","scripts\count-afterword-words.ps1","2728","6","CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-审阅章节正文\SKILL.md; CommonSkills\通用-润色作者有话说\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md","referenced"
"scripts","scripts\count-afterword.ps1","4542","19","CommonSkills\通用-创建小说正文\SKILL.md; CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-审阅章节正文\SKILL.md; CommonSkills\通用-正文润色\SKILL.md; CommonSkills\通用-润色作者有话说\SKILL.md; CommonSkills\通用-章节创作闭环\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\count-chapter.ps1","2075","21","CommonSkills\通用-创建小说正文\SKILL.md; CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-审阅章节正文\SKILL.md; CommonSkills\通用-正文润色\SKILL.md; CommonSkills\通用-章节创作闭环\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\dedup_cache_layers.ps1","2628","0","","unreferenced"
"scripts","scripts\diag_cn_repetition.ps1","5161","0","","unreferenced"
"scripts","scripts\diag_en_marker_metrics.ps1","1224","0","","unreferenced"
"scripts","scripts\export-tomato.ps1","1629","0","","unreferenced"
"scripts","scripts\extract_heldout.ps1","836","0","","unreferenced"
"scripts","scripts\extract_platform_eval_refs.ps1","7306","0","","unreferenced"
"scripts","scripts\extract_profile_refs.ps1","5606","0","","unreferenced"
"scripts","scripts\extract_samples.ps1","1431","0","","unreferenced"
"scripts","scripts\fix_dead_refs.ps1","3389","0","","unreferenced"
"scripts","scripts\fix_deepresearch_frontmatter.ps1","3205","0","","unreferenced"
"scripts","scripts\fix_deepresearch2.ps1","1120","0","","unreferenced"
"scripts","scripts\fix_remaining_dead.ps1","2108","0","","unreferenced"
"scripts","scripts\fix_toutiao_skill.ps1","1651","0","","unreferenced"
"scripts","scripts\format_novel_markdown.ps1","7254","0","","unreferenced"
"scripts","scripts\normalize_cn_body_paragraphs.ps1","3078","0","","unreferenced"
"scripts","scripts\pad_to_gate.ps1","9700","0","","unreferenced"
"scripts","scripts\platform_validate.ps1","11299","4","CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md","referenced"
"scripts","scripts\pov_validate.py","5666","17","CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\prune_cn_body_sentences.ps1","6071","0","","unreferenced"
"scripts","scripts\reduce_pad_like_lines.ps1","11169","0","","unreferenced"
"scripts","scripts\reflow_cn_markdown_body.ps1","3297","0","","unreferenced"
"scripts","scripts\remove_evidence_ledger_blocks.ps1","1595","0","","unreferenced"
"scripts","scripts\remove_invisible_random_blocks.ps1","2841","0","","unreferenced"
"scripts","scripts\remove_private_use_chars.ps1","4149","0","","unreferenced"
"scripts","scripts\remove_random_blocks.ps1","1983","0","","unreferenced"
"scripts","scripts\rename-zhihu-titles.ps1","6480","0","","unreferenced"
"scripts","scripts\rephrase_cn_body.ps1","13017","19","CommonSkills\通用-多平台小说适配\SKILL.md; CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-提纯多平台母稿\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\rephrase_en_body.ps1","10850","19","CommonSkills\通用-多平台小说适配\SKILL.md; CommonSkills\通用-多平台输出编排\SKILL.md; CommonSkills\通用-提纯多平台母稿\SKILL.md; CommonSkills\通用-输出B站版\SKILL.md; CommonSkills\通用-输出GoodNovel版\SKILL.md; CommonSkills\通用-输出My Fiction版\SKILL.md; CommonSkills\通用-输出WebNovel版\SKILL.md; CommonSkills\通用-输出七猫版\SKILL.md; CommonSkills\通用-输出今日头条版\SKILL.md; CommonSkills\通用-输出出版社版\SKILL.md; CommonSkills\通用-输出小红书版\SKILL.md; CommonSkills\通用-输出微信订阅号版\SKILL.md; CommonSkills\通用-输出新浪微博版\SKILL.md; CommonSkills\通用-输出番茄版\SKILL.md; CommonSkills\通用-输出百度百家号版\SKILL.md; CommonSkills\通用-输出知乎版\SKILL.md; CommonSkills\通用-输出纵横小说版\SKILL.md; CommonSkills\通用-输出豆瓣版\SKILL.md; CommonSkills\通用-输出起点中文网版\SKILL.md","referenced"
"scripts","scripts\replace_body_before_marker.ps1","5037","0","","unreferenced"
